Country,State,City,Area
Maroc,Casablanca-Settat,El Jadida,Médina (ancienne cité portugaise)
Maroc,Casablanca-Settat,El Jadida,Mazagao (quartier historique / rénové)
Maroc,Casablanca-Settat,El Jadida,Quartier de la Marine (front de mer)
Maroc,Casablanca-Settat,El Jadida,Quartier des Hôpitaux
Maroc,Casablanca-Settat,El Jadida,Palmeraie (Quartier de la Palmeraie)
Maroc,Casablanca-Settat,El Jadida,Plage (quartier de la plage / El Jadida Plage)
Maroc,Casablanca-Settat,El Jadida,Quartier des Mimosas
Maroc,Casablanca-Settat,El Jadida,Les Jardins (Garden District)
Maroc,Casablanca-Settat,El Jadida,Quartier du Golf
Maroc,Casablanca-Settat,El Jadida,Quartier Anfa
Maroc,Casablanca-Settat,El Jadida,L’Agdal
Maroc,Casablanca-Settat,El Jadida,Quartier des Doukkala
Maroc,Casablanca-Settat,El Jadida,Zone littorale (coastal zone)
Maroc,Casablanca-Settat,El Jadida,Quartier des Amicales
Maroc,Casablanca-Settat,El Jadida,Al Mohammadi
Maroc,Casablanca-Settat,El Jadida,Hay Mohammadi (résidentiel calme)
Maroc,Casablanca-Settat,El Jadida,Quartier de la Plage (logement & investissement)
Maroc,Casablanca-Settat,El Jadida,Hay Al Matar
Maroc,Casablanca-Settat,El Jadida,Hay Salam
Maroc,Casablanca-Settat,El Jadida,Nejd
Maroc,Casablanca-Settat,El Jadida,Saada 1, Saada 2, Saada 3
Maroc,Casablanca-Settat,El Jadida,Najmat Al Janoub
Maroc,Casablanca-Settat,El Jadida,Al Malihine (à éviter)
Maroc,Casablanca-Settat,El Jadida,El Makhzen (à éviter)
Maroc,Casablanca-Settat,El Jadida,Sidi Bouzid (station balnéaire proche)
Maroc,Casablanca-Settat,El Jadida,Sidi Moussa (lagune / réserve naturelle)
