Country,State,City,Area
Maroc,Marrakech-Safi,Essaouira,Medina (Ville historique)
Maroc,Marrakech-Safi,Essaouira,Kasbah
Maroc,Marrakech-Safi,Essaouira,Chbanat (quartier d’artisanat et galeries)
Maroc,Marrakech-Safi,Essaouira,Mellah (ancien quartier juif)
Maroc,Marrakech-Safi,Essaouira,Derb Ahl Agadir
Maroc,Marrakech-Safi,Essaouira,Derb Beni Antar
Maroc,Marrakech-Safi,Essaouira,Derb Chebanat
Maroc,Marrakech-Safi,Essaouira,Derb Bouachir
Maroc,Marrakech-Safi,Essaouira,Derb Rahala
Maroc,Marrakech-Safi,Essaouira,Nouvelle Ville
Maroc,Marrakech-Safi,Essaouira,Quartier des Dunes (Les Dunes)
Maroc,Marrakech-Safi,Essaouira,La Baie (Bay area)
Maroc,Marrakech-Safi,Essaouira,Océan (côte/zone littorale)
Maroc,Marrakech-Safi,Essaouira,Diabat
