Country,State,City,Area
Maroc,Rabat-Salé-Kénitra,Kénitra,Centre Ville
Maroc,Rabat-Salé-Kénitra,Kénitra,Maamora
Maroc,Rabat-Salé-Kénitra,Kénitra,Bir Rami
Maroc,Rabat-Salé-Kénitra,Kénitra,Bir Rami Est
Maroc,Rabat-Salé-Kénitra,Kénitra,Bir Rami Ouest
Maroc,Rabat-Salé-Kénitra,Kénitra,Oulad Oujih
Maroc,Rabat-Salé-Kénitra,Kénitra,Oulad Oujih Est
Maroc,Rabat-Salé-Kénitra,Kénitra,Oulad Oujih Ouest
Maroc,Rabat-Salé-Kénitra,Kénitra,Saknia
Maroc,Rabat-Salé-Kénitra,Kénitra,Saknia 2
Maroc,Rabat-Salé-Kénitra,Kénitra,Ouled Wajih
Maroc,Rabat-Salé-Kénitra,Kénitra,Lotissement Nassim
Maroc,Rabat-Salé-Kénitra,Kénitra,Lotissement Riad
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Industriel
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Administratif
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Habous
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Riyad
Maroc,Rabat-Salé-Kénitra,Kénitra,Mehdia
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Ouled Slama
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Ismailia
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Nahda
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Al Qods
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Massira
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Assalam
Maroc,Rabat-Salé-Kénitra,Kénitra,Quartier Saknia Extension
