Country,State,City,Area
Maroc,Fès-Meknès,Meknès,Médina
Maroc,Fès-Meknès,Meknès,Ville Nouvelle
Maroc,Fès-Meknès,Meknès,Hamria (Hamriya)
Maroc,Fès-Meknès,Meknès,Bassatine
Maroc,Fès-Meknès,Meknès,El Ismailia
Maroc,Fès-Meknès,Meknès,Lahboul
Maroc,Fès-Meknès,Meknès,Tansift
Maroc,Fès-Meknès,Meknès,Moulay Ismail
Maroc,Fès-Meknès,Meknès,Sidi Saïd
Maroc,Fès-Meknès,Meknès,Agdal
Maroc,Fès-Meknès,Meknès,Dar El Makhzen
Maroc,Fès-Meknès,Meknès,Hanana
Maroc,Fès-Meknès,Meknès,Quartier des Artisans
Maroc,Fès-Meknès,Meknès,Centro (Centre-ville)
Maroc,Fès-Meknès,Meknès,Marjan
Maroc,Fès-Meknès,Meknès,Najjarine
Maroc,Fès-Meknès,Meknès,Belle Vue
Maroc,Fès-Meknès,Meknès,Plaisance
Maroc,Fès-Meknès,Meknès,Kamilia
Maroc,Fès-Meknès,Meknès,Sidi Bouzkri
Maroc,Fès-Meknès,Meknès,Oued Eddahab
Maroc,Fès-Meknès,Meknès,Sidi Amar (Dar el-Kbira area)
