Country,State,City,Area
Maroc,Oriental,Oujda,Berkane
Maroc,Oriental,Oujda,Village Toba intérieur (Dakhlani)
Maroc,Oriental,Oujda,Village Si Lakhdar
Maroc,Oriental,Oujda,Village Nagadi
Maroc,Oriental,Oujda,Hay Lmarche
Maroc,Oriental,Oujda,El Aounia
Maroc,Oriental,Oujda,El Qods
Maroc,Oriental,Oujda,Village Jdid
Maroc,Oriental,Oujda,Hay El Hassani (ex Village Koulouche)
Maroc,Oriental,Oujda,Vietnam
Maroc,Oriental,Oujda,Souk Laghzale
Maroc,Oriental,Oujda,Hay Mohamadi (ex Village Toba)
Maroc,Oriental,Oujda,Tennis
Maroc,Oriental,Oujda,Pueblo Lafaguigue
Maroc,Oriental,Oujda,Mir Ali
Maroc,Oriental,Oujda,Lamhala
Maroc,Oriental,Oujda,Hay Al Massira (Azencot)
Maroc,Oriental,Oujda,Oued Nachef
Maroc,Oriental,Oujda,Medicina
Maroc,Oriental,Oujda,Castillo de Agua
Maroc,Oriental,Oujda,Kodaan
Maroc,Oriental,Oujda,Maqsem
Maroc,Oriental,Oujda,Bouknadl
Maroc,Oriental,Oujda,Nouvelle Medina
Maroc,Oriental,Oujda,Sidi Yahya
Maroc,Oriental,Oujda,Chaouf
Maroc,Oriental,Oujda,Boudir
Maroc,Oriental,Oujda,Dhar Lamhalla (Distrito Lazaret)
Maroc,Oriental,Oujda,México (Distrito Lazaret)
Maroc,Oriental,Oujda,Al Fath (Distrito Lazaret)
Maroc,Oriental,Oujda,Riad (Distrito Lazaret)
Maroc,Oriental,Oujda,Al Jaouhara
Maroc,Oriental,Oujda,Ennsar
Maroc,Oriental,Oujda,Hay Salam
Maroc,Oriental,Oujda,Hay Saâda
Maroc,Oriental,Oujda,Rja f Alah
Maroc,Oriental,Oujda,Al Irfane
Maroc,Oriental,Oujda,Les Iris
Maroc,Oriental,Oujda,Hay Errabie
Maroc,Oriental,Oujda,Hay Al Hikma
Maroc,Oriental,Oujda,Al Zaytoun
Maroc,Oriental,Oujda,Al Wahda (CGI)
Maroc,Oriental,Oujda,Derb Mbasso
Maroc,Oriental,Oujda,Route Tayret
Maroc,Oriental,Oujda,Berramdane
Maroc,Oriental,Oujda,Moulay Miloud
Maroc,Oriental,Oujda,Moulay Mostfa
Maroc,Oriental,Oujda,Benkhirane
Maroc,Oriental,Oujda,Sammara
Maroc,Oriental,Oujda,Amudu
Maroc,Oriental,Oujda,Bangladesh
Maroc,Oriental,Oujda,Jouhara
