Country,State,City,Area
Maroc,Marrakech-Safi,Safi,Ville Nouvelle
Maroc,Marrakech-Safi,Safi,Ancienne Médina (Médina)
Maroc,Marrakech-Safi,Safi,La Colline des Potiers (Quartier des potiers)
Maroc,Marrakech-Safi,Safi,Ksar el-Bahr (Château de Mer)
Maroc,Marrakech-Safi,Safi,Ksar Ben Hamidouche (Kasbah)
Maroc,Marrakech-Safi,Safi,Quartier Administratif
Maroc,Marrakech-Safi,Safi,L’A.B.C.
Maroc,Marrakech-Safi,Safi,Azib Derai
Maroc,Marrakech-Safi,Safi,Achbar
Maroc,Marrakech-Safi,Safi,Bled Eljed
Maroc,Marrakech-Safi,Safi,Bahia
Maroc,Marrakech-Safi,Safi,Biar
Maroc,Marrakech-Safi,Safi,Biyada
Maroc,Marrakech-Safi,Safi,Chenguite
Maroc,Marrakech-Safi,Safi,Darb Lfarrane
Maroc,Marrakech-Safi,Safi,Darb Moulay Hassan
Maroc,Marrakech-Safi,Safi,Hay Anas
Maroc,Marrakech-Safi,Safi,Hay El Bouwab
Maroc,Marrakech-Safi,Safi,Hay El Majd
Maroc,Marrakech-Safi,Safi,Hay Essaâda
Maroc,Marrakech-Safi,Safi,Hay Oued El Bacha
Maroc,Marrakech-Safi,Safi,El Matar (Cité Aviation)
Maroc,Marrakech-Safi,Safi,Essaada
Maroc,Marrakech-Safi,Safi,El Massira Boukalli
Maroc,Marrakech-Safi,Safi,Jnane Illane
Maroc,Marrakech-Safi,Safi,Jnane El Mestari
Maroc,Marrakech-Safi,Safi,Jnane Chkouri
Maroc,Marrakech-Safi,Safi,Jnane Colonne 1
Maroc,Marrakech-Safi,Safi,Jnane Colonne 2
Maroc,Marrakech-Safi,Safi,Jnane Zitoune (Tajziate)
Maroc,Marrakech-Safi,Safi,Kawki
Maroc,Marrakech-Safi,Safi,Koudia al Baida
Maroc,Marrakech-Safi,Safi,Lala Hnia Hamria
