Country,State,City,Area
Maroc,Rabat-Salé-Kénitra,Salé,Tabriquet
Maroc,Rabat-Salé-Kénitra,Salé,Maâmoura
Maroc,Rabat-Salé-Kénitra,Salé,Hay Nahda
Maroc,Rabat-Salé-Kénitra,Salé,Hay Riad (Salé)
Maroc,Rabat-Salé-Kénitra,Salé,Hay Salam
Maroc,Rabat-Salé-Kénitra,Salé,Hay Assalam
Maroc,Rabat-Salé-Kénitra,Salé,Hay El Qods
Maroc,Rabat-Salé-Kénitra,Salé,Hay Moulay Youssef
Maroc,Rabat-Salé-Kénitra,Salé,Hay Al Qalaa
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Bab Lamrissa
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Bettana
Maroc,Rabat-Salé-Kénitra,Salé,Quartier El Mansour
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Souissi (Salé)
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Lissasfa
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Hay Moulay Abdellah
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Hay El Fath
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Hay Al Yassmine
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Hay Al Massira
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Riad Al Fath
Maroc,Rabat-Salé-Kénitra,Salé,Quartier Hay Ennajd
