Country,State,City,Area
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Centre-ville
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Jardins Exotiques
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Zone résidentielle Sidi Bouknadel
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Plage Sidi Bouknadel
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Zone industrielle et commerciale
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Rues principales (Avenue Mohammed V)
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Rue de la Corniche
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Quartier El Yasmine
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Quartier Hay Salam
Maroc,Rabat-Salé-Kénitra,Sidi Bouknadel,Zone touristique et hôtelière
